"","AT3G18990","AT5G10140"
"GSM268252.CEL",7.96922313745808,6.15683554252655
"GSM268008.CEL",6.84003984108187,7.39861489871125
"GSM268009.CEL",6.52249086810833,6.95062357259907
"GSM268010.CEL",6.52084606343664,6.80063116183543
"GSM269475.CEL",7.57063313846722,6.51595684026526
"GSM269477.CEL",7.31667169440272,5.96942971206621
"GSM269478.CEL",7.34733074092044,6.5330210721804
"GSM269482.CEL",7.47620619730752,5.53389776902326
"GSM269483.CEL",7.24185705073671,5.877548371183
"GSM269484.CEL",7.35836746621556,5.41970922398713
"GSM269485.CEL",7.6510494809388,5.44568224527998
"GSM269486.CEL",7.57450168843823,4.949612438275
"GSM269487.CEL",7.79904106969941,4.88212635827444
"GSM269488.CEL",6.94539180459221,4.95340629200315
"GSM269489.CEL",7.4953321483689,5.98278632735774
"GSM269490.CEL",6.67444046585546,5.57097186209232
"GSM269491.CEL",7.4171610379503,5.1764097172195
"GSM269492.CEL",7.5065569821815,5.32171162399446
"GSM269493.CEL",7.78426702719795,5.58151740528032
"GSM269494.CEL",7.13940556427425,5.88655186117378
"GSM269495.CEL",8.0542863796905,7.11940342647769
"GSM269496.CEL",7.92958461307357,7.26087722042753
"GSM269497.CEL",8.0060331930908,6.83650139066471
"GSM269498.CEL",7.95861561123836,6.83904860341221
"GSM269499.CEL",7.83932866683407,7.17664934354853
"GSM269812.CEL",7.42945391282977,7.06010082353419
"GSM269813.CEL",8.1283876211865,6.40362128818176
"GSM269814.CEL",6.91373946072216,5.76909279543771
"GSM269815.CEL",7.57965653859135,5.77098648966078
"GSM269816.CEL",7.49978778112849,5.67436925589532
"GSM269817.CEL",7.89440859796974,6.2495829796818
"GSM269818.CEL",7.46655026550586,5.09709943990736
"GSM269819.CEL",7.64873885446746,5.50716582207141
"GSM269820.CEL",7.33985400752022,5.08654305815894
"GSM269821.CEL",7.43176397687605,5.86672041203501
"GSM269822.CEL",7.5855624824395,5.4159186358281
"GSM269823.CEL",7.66495817364313,5.74550339104272
"GSM269824.CEL",7.32702067668187,6.07668623083485
"GSM269825.CEL",7.88470589322768,6.29788328654703
"GSM269826.CEL",7.26784956798597,5.10161033381073
"GSM269827.CEL",7.37868853986013,5.57633365537929
"GSM269828.CEL",7.03074414809404,6.4152252058894
"GSM269829.CEL",7.30596048662809,6.6219421889944
"GSM269830.CEL",7.11963538151235,5.80727491947962
"GSM269831.CEL",7.63026097552626,6.42777498332768
"GSM269832.CEL",7.14309656476354,5.59551608365532
"GSM269833.CEL",7.69343225536572,5.49996406098684
"GSM271040.CEL",8.36122447306672,4.83327255337859
"GSM271053.CEL",8.20918703643344,4.73775988647307
"GSM271054.CEL",8.09101608744939,4.40031741172091
"GSM271055.CEL",8.00279066832187,5.04165837561497
"GSM271056.CEL",8.28676389953092,5.07267980787363
"GSM271057.CEL",8.14252661249672,4.91481143311649
