"","AT1G26600","AT2G17950"
"GSM289638.CEL",6.29392214978405,4.43562350474214
"GSM289639.CEL",6.03387708455191,3.90453541566628
"GSM289640.CEL",5.52784150857819,4.03656804912148
"GSM289641.CEL",6.64412794629839,4.03502571807326
"GSM289642.CEL",6.3807257586342,4.08279276874065
"GSM290557.CEL",4.96419229098591,4.01887315562163
"GSM290558.CEL",4.97511408088419,3.90831083820355
"GSM290559.CEL",5.13701742057024,3.62908041993868
"GSM290560.CEL",5.08544851233026,3.80173828923109
"GSM290561.CEL",4.79344585983545,3.98971025471981
"GSM290562.CEL",4.93861127823153,3.90634247452065
"GSM290625.CEL",5.00637840888063,3.91483078073545
"GSM290626.CEL",5.37108385768901,3.88353264649343
"GSM290627.CEL",4.56288629967915,3.94439565658194
"GSM290628.CEL",4.32529486994142,4.40855310315821
"GSM290629.CEL",4.37308033906855,3.63485889813302
"GSM290630.CEL",4.22768530664589,3.99094676272854
"GSM290753.CEL",3.99772581704507,3.82334430832286
"GSM290755.CEL",4.08082452773778,4.11991002909089
"GSM290756.CEL",4.04066350696995,3.94654214080836
"GSM290757.CEL",4.08911203889119,4.00955315555976
"GSM290758.CEL",4.13129334295225,3.98359340720193
"GSM290759.CEL",3.96405534235332,3.97747628077088
"GSM290760.CEL",4.0278441474566,3.91697463280309
"GSM290761.CEL",4.0153413872702,3.97101786737689
"GSM290762.CEL",4.20554026177487,3.89306880970485
"GSM290825.CEL",4.08464839318783,3.89494960800465
"GSM290827.CEL",4.04718849100644,4.25615354305538
"GSM290828.CEL",4.07813246314766,3.90313536585337
"GSM291019.CEL",4.16012631756791,3.97166171949266
"GSM291020.CEL",3.99903109798094,4.02096835828247
"GSM291021.CEL",4.06192390266393,3.84379195424144
"GSM291023.CEL",3.92995543426371,3.94989135268018
"GSM291024.CEL",4.03462461569557,4.04763005380398
"GSM291098.CEL",4.04343273599678,4.0572272734191
"GSM291099.CEL",4.03601555853672,3.92219858018283
"GSM291101.CEL",3.96604356002775,3.88884447666597
"GSM291108.CEL",4.076529719081,3.96841215012478
"GSM291112.CEL",3.98919910041653,3.84015691142011
"GSM291113.CEL",3.96421299282918,4.06003298981911
"GSM291114.CEL",4.01338770592808,3.8394199862297
"GSM291118.CEL",4.02099333311407,4.32106166548869
"GSM291119.CEL",4.00626791438645,4.01690644302066
"GSM291124.CEL",4.20977398745137,4.14796803205335
"GSM291128.CEL",4.10206757153608,4.48956003242283
"GSM292076.CEL",4.12741363503864,4.32687386752148
"GSM292077.CEL",4.09933808900243,4.42711545024033
"GSM292078.CEL",4.36846139931183,4.32807938937348
"GSM292079.CEL",4.18022835509802,4.34520482181472
"GSM292080.CEL",4.15681563030927,4.50350759765415
"GSM292081.CEL",4.32000691260656,4.17581616503822
"GSM297379.CEL",4.54388327923135,4.33233072502115
"GSM297380.CEL",4.50711150182225,4.03197580424147
"GSM297381.CEL",4.75274921627346,4.27298957893073
"GSM297382.CEL",4.24555569954702,4.15131242958273
"GSM297383.CEL",4.42795632824253,4.03677700038985
"GSM297384.CEL",4.40906800283637,4.28477208413031
"GSM297385.CEL",4.23759279609849,4.14834427292914
"GSM297386.CEL",4.35499218732528,4.05803163492792
"GSM297387.CEL",4.31648572666329,4.28825482539259
"GSM297388.CEL",4.33899492709692,4.17953953396242
"GSM297389.CEL",4.71578205965526,3.84856442401648
"GSM297390.CEL",4.7918983498854,3.97220154846825
"GSM297391.CEL",4.56012287132763,4.00120383859461
"GSM297392.CEL",4.30381161992363,4.09377190675851
"GSM297393.CEL",4.59244180957719,3.92335776517898
"GSM297394.CEL",4.45956676929975,4.25071052334208
"GSM297395.CEL",4.45388383249141,4.20815202943753
"GSM297396.CEL",4.55875330840277,4.08333649149368
"GSM297397.CEL",4.60431892515645,4.11663429749143
